"STN
Code",Name of Monitoring Location,Type Water Body,State Name,TemperatureC_mean,Dissolved Oxygen_mg/L_mean,pH_mean,Conductivity_mhos/cm_mean,BOD_mg/L_mean,Nitrate_N_mg/L_mean,Fecal_Coliform_MPN/100ml_mean,Total_Coliform_MPN/100ml_mean
4368,"KOLLERU LAKE KOKKIRAYALANKA (V), KAILALUR (M)",LAKE,ANDHRA PRADESH,25.5,4.85,7.5,2702.5,2.4,2.31,15,165
2353,"KONDAKARLA-AAVA LAKE, PARAWADA PHARMA CITY, VISHAKHAPATNAM",LAKE,ANDHRA PRADESH,27.5,4.9,7.35,889,3.25,2.165,19,195
1790,"PULICATE LAKE , NELLORE DIST",LAKE,ANDHRA PRADESH,21,5.1,7.7,42450,2.6,1.42,3,98.5
4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ,
TIRUPATHI",TANK,ANDHRA PRADESH,25.5,5.8,7.1,328,1.75,1.32,194.5,359.5
4921,"ANNAMAYYA PROJECT ON CHEYYERU
RESERVOIR",Wetland,ANDHRA PRADESH,25.5,5.95,7.65,615,1.65,0.675,166,483.5
4936,ANUMANAPALLE CHERUVU,Wetland,ANDHRA PRADESH,22.5,7.15,8.05,239,1.7,1.105,3.5,106.5
4919,BRAMHASAGAR,Wetland,ANDHRA PRADESH,24.5,5.75,7.5,494.5,1.6,0.495,183.5,406
4926,DALI TANK,Wetland,ANDHRA PRADESH,26.5,5.75,7.8,9612,2,1.6,9.5,76
4931,GACCHAKAYALA PORA (LAGOON),Wetland,ANDHRA PRADESH,29,5.85,7.85,34565,2.5,1.745,9.5,92
4917,GANGINENI CHERUVU,Wetland,ANDHRA PRADESH,25.5,4.8,7.35,1064,2.85,2.795,425,830
4934,INTERU SWAMPS,Wetland,ANDHRA PRADESH,25.5,6.8,7.6,21485,2.6,1.46,3,106.5
4918,KATTAMANCHI CHERUVU,Wetland,ANDHRA PRADESH,26.5,4.95,7.45,1018,2.5,1.78,347.5,775
4933,KRISHNA MANGROVES,Wetland,ANDHRA PRADESH,26,5.65,7.55,29250,2.6,1.42,3,110.5
4916,MID PENNAR RESERVOIR,Wetland,ANDHRA PRADESH,24,5.8,7.45,453,1.35,1.45,230,439.5
4925,NAUPADA SWAMPS,Wetland,ANDHRA PRADESH,27,5,7.75,29415,2.95,3.58,17.5,551
4930,P .S. CHINNAIAH PALEM,Wetland,ANDHRA PRADESH,27,6.9,7.5,900,2.8,1.12,12.5,137
4924,PATATEKALLI CHERUVU,Wetland,ANDHRA PRADESH,27,6,7.75,26685.5,11.75,2.445,16,290
4915,PATHAKOTHA CHERUVU,Wetland,ANDHRA PRADESH,25.5,5.35,7.6,1316.5,2.4,1.68,404.5,738
4928,PEDDA CHERUVU,Wetland,ANDHRA PRADESH,29,3.9,7.15,1035,27.95,4.025,30,1320
4923,SANGAMESWARA BACKWATERS,Wetland,ANDHRA PRADESH,24.5,5.75,7.35,783.5,1.95,1.36,198.5,530
4920,SOMASILA BACK WATER,Wetland,ANDHRA PRADESH,25,5.85,7.55,637.5,1.4,0.64,199,417
4927,TATIPUDI RESERVOIR,Wetland,ANDHRA PRADESH,28.5,6.05,7.6,304,1.8,1.315,3.5,57
4929,UPPALANKA MUDFLATS,Wetland,ANDHRA PRADESH,27,5.15,7.5,20165,3.8,1.74,9.5,99.5
4935,UPPALAPADU TANK,Wetland,ANDHRA PRADESH,22.5,7,7.7,789,3.5,2.895,3.5,1275
4932,YERRAKALUVA RESERVOIR,Wetland,ANDHRA PRADESH,25.5,5.2,7.55,680,2.1,1.355,5.5,68
3785,"BORBEEL NO. 1 , RAM NAGAR, DIGBOI,
PUBLIC WATER SUPPLY, TINSUKIA",LAKE,ASSAM,24,1,7.75,280,2.35,1,2,2
3789,"BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI",LAKE,ASSAM,24,6.15,7.35,193.5,2.35,0.9,605,1700
3820,"BORSOLA BEEL, SARABBHATTI,
GUWAHATI",LAKE,ASSAM,26.5,3.3,7.55,461,26.4,2.4,3100,5400
2206,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",LAKE,ASSAM,30,5,7.4,73.5,2.1,0.9,515,1055
2218,"DEEPAR BEEL AT BORAGAON NEAR
IASST, GUWAHATI, ASSAM",LAKE,ASSAM,26,7.7,7.5,222,3.5,1.3,515,1350
1529,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,25.5,7.5,7.5,220.5,3.7,1.3,515,1255
3821,"DIPLAI BEEL AT SILGARA, KOKRAJHAR",LAKE,ASSAM,28,4.85,7.3,81,2.45,1.05,515,1255
3787,"HOLUDUNGA BEEL NEAR GAI NADI/
RIVER AT SOMARAJAN, DHEMA JI",LAKE,ASSAM,23.5,6.3,7.3,107,2.4,0.75,515,1205
4337,"KAMALABARI LAKE INSIDE KAMALABARI
CHILDREN,S PARK, GELEKY",LAKE,ASSAM,27.5,6.5,7.2,69,2.2,0.95,330,635
3812,"KAMALPUR BEEL, KAMALPUR",LAKE,ASSAM,24,2.05,7.5,1098,27.8,2.8,880,1805
3800,"MALINI BEEL NEAR INDUTRIAL AREA AT
RAMNAGAR",LAKE,ASSAM,22.5,5.1,7.35,145,2.45,0.8,455,1105
2205,"MER BEEL AT MADHABPUR, ASSAM",LAKE,ASSAM,23.5,5.9,7.6,148.5,2.55,0.95,510,1455
3808,PARASHALI BEEL AT DEMORIA,LAKE,ASSAM,25,8,7.3,136,2.5,0.9,615,1455
3798,SAMAGURI BEEL IN NAGAON DISTRICT,LAKE,ASSAM,26.5,5.55,7.25,130.5,2.45,0.85,515,1360
3814,"SILSAKO BEEL, CHACHAL, GUWAHATI",LAKE,ASSAM,26.5,0.85,7.35,521.5,16.5,1.9,1850,3500
3804,SON BEEL WATER AT KARIMGANJ,LAKE,ASSAM,23,4.15,7.15,140.5,2.5,0.9,605,1415
3819,"SORU SOLA BEEL, PALTAN BAZAR,
GUWAHATI",LAKE,ASSAM,26.5,3.5,7.5,474,27,2.4,3100,4750
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI, ASSAM",POND,ASSAM,21,4.5,7.35,115.5,2.35,0.9,605,1550
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO, ASSAM",POND,ASSAM,23.5,7.25,7.3,226,2.3,1.15,1300,2515
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,23,5.5,7.5,248.5,2.4,0.85,515,1055
3772,BORPUKHURI AT SONARI,POND,ASSAM,25.5,6.6,7.4,89.5,2.3,0.85,330,730
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,26.5,6.6,7.3,76,2.25,0.9,330,605
2214,"BOTODRIVA SATRA POND, NAGAON,
ASSAM",POND,ASSAM,25,5.1,7.4,75.5,2.4,0.95,515,1115
2220,"CHAND DUBI BEEL, CHAND DUBI, ASSAM",POND,ASSAM,27,7.45,7.45,95.5,2.35,0.9,515,1110
2216,"DIGHALI PUKHURI, GUWAHATI, ASSAM",POND,ASSAM,27.5,7.7,7.4,269.5,2.65,1.4,545,1455
1263,"ELANGABEEL SYSTEM POND
(CONNECTED TO R. KOLANG), ASSAM",POND,ASSAM,24,5.4,7.3,544,2.5,1.05,605,1415
2228,"GALA BEEL AT DERGAON, ASSAM",POND,ASSAM,25,8,7.55,83,2.3,0.9,510,1110
2221,"GANGA PUKHURI, NALBARI (GORDON
SCHOOL), ASSAM",POND,ASSAM,24,7.35,7.4,79.5,2.3,0.85,515,1055
2209,"GAURISAGAR TANK, GAURISAGAR,
ASSAM",POND,ASSAM,28,5.9,7,74,2,1.05,366,930
2212,"GOPHUR TANK, GOPHUR, ASSAM",POND,ASSAM,26,7.2,7.6,110,2.45,0.9,330,1060
2227,"HORDAI PUKHURI, CHARAIDEW, ASSAM",POND,ASSAM,25,6.4,7.05,70.5,2.25,0.95,330,635
2213,"JAIPAL PUKHURI, SIPAJHAR, ASSAM",POND,ASSAM,26.5,7.5,7.6,149.5,2.5,0.95,510,1065
3809,"JORPUKHURI AT UZANBAZAR
(UGRATALA TEMPLE)",POND,ASSAM,27.5,7.75,7.5,393,2.5,1,635,1455
2223,"MAHAMAYA MANDIR PUKHURI, ASSAM",POND,ASSAM,29,4.55,7.6,81.5,2.25,0.9,605,1505
4006,NETAI PUKHURI AT NETAI PUKHURI,POND,ASSAM,26.5,6.3,6.95,76,2.2,0.9,330,635
2211,"PADUMPUKHURI, TEZPUR, ASSAM",POND,ASSAM,28,7.4,7.5,284,2.45,1.05,515,1110
3806,"POND WATER FROM RAMKRISHNA
MISSION AT HAILAKANDI",POND,ASSAM,23.5,4.7,7.25,150.5,2.4,0.85,620,1255
2222,"RAJADINIA PUKHURI AT ABHAYAPURI, ASSAM",POND,ASSAM,31,4.9,7.35,70,2.25,0.95,605,1365
2224,"RAJAPUKHURI AT GAURIPUR, ASSAM",POND,ASSAM,30,4.95,7.6,111,2.35,0.95,605,1455
2210,"RAJMAW PUKHURI, JORHAT, ASSAM",POND,ASSAM,27,6.7,7.3,91,2.35,0.9,330,635
2215,"SARAN BEEL, ASSAM",POND,ASSAM,26.5,5.5,7.3,90,2.35,0.9,515,1110
2226,"SIVASAGAR TANK (BORPUKHURI) NEAR
SIVADOL, ASSAM",POND,ASSAM,28,5.75,7.1,78,2.3,0.9,515,930
2217,"SUBHAGYA KUNDA POND KAMAKHYA
TEMPLE, GUWAHATI, ASSAM",POND,ASSAM,24.5,6.25,7.55,232.5,2.35,0.85,515,1410
4334,"THOWRADOLE PUKHURI, THOWRADOLE
G.P. DEMOW BLOCK",POND,ASSAM,27.5,6.65,7.25,80,2.4,0.9,330,635
1532,"GOYSAGAR TANK, SIBSAGAR, ASSAM",TANK,ASSAM,28,6,6.95,75,2,0.9,151,545
2557,"KAWAR LAKE, BEGUSARAI",LAKE,BIHAR,21.5,5.45,7.15,248,3.3,3.175,46390,81150
2571,MOTI JHEEL AT MOTIHARII,LAKE,BIHAR,24.5,12.3,7.75,735,8.5,1.315,80340,80550
4296,"SIKANDRAPUR, MUZAFFARPUR",LAKE,BIHAR,22,10.35,8.3,696,6.85,0.4,80850,81650
2574,SURAJ KUND AT GAYA,POND,BIHAR,24.5,9.65,7.65,622,4.6,0.89,81100,81300
2573,TIGHI TALAB AT GAYA,POND,BIHAR,24.5,12.5,8.1,848.5,5.05,0.735,80460,80850
2046,"SUKHNA LAKE, CHANDIGARH",LAKE,CHANDIGARH,25,8.9,7.8,251.5,3,7.75,13502.5,5450016.5
3031,"BHALSWA LAKE, DELHI",LAKE,DELHI,32,1,7.85,6560,47.5,1.62,1674500,14000000
3476,"LAKE NEAR IIT FLYOVER, DELHI",LAKE,DELHI,34,5.65,8.9,940,113.5,2.49,490024.5,79
3030,"SANJAY LAKE, DELHI",LAKE,DELHI,33,4.65,8.2,1194,41.5,1.525,20024.5,130
3175,ANJUNEM LAKE,LAKE,GOA,29.5,6.35,6.55,90,1.3,0.43,121,271
3177,CARAMBOLIM LAKE,LAKE,GOA,28.5,6.55,7.3,351,1.9,0.355,689,1705
3180,CURTORIM LAKE,LAKE,GOA,29,4.15,6.85,136.5,1.95,0.77,1215,2535
4408,HARWALE WATER FALL,LAKE,GOA,30,7.15,6.8,111,1.45,0.38,1674.5,2770
2269,"MAYEM LAKE, BICHOLIM",LAKE,GOA,30,7.05,6.75,67.5,1.4,0.32,1185,1515
3178,RAIA LAKE,LAKE,GOA,29,5.25,7.05,133.5,2.3,0.72,1372.5,1984
3176,RUMDER LAKE,LAKE,GOA,29.5,3.6,6.95,118,2.4,0.42,1215,2565
3179,SAIPEM LAKE,LAKE,GOA,29,3.05,7.15,329.5,5.25,0.75,2565,4420
1549,"SALAULIM LAKE AT SALAULIM -
SANGUEM, GOA",LAKE,GOA,30.25,7.1,7.6,88.5,1.4,0.61,25.5,41.5
1345,"AJWAH LAKE AT SRI SAYAJI SABVAR,
BARODA,",LAKE,GUJARAT,28.5,6.8,8.05,433.5,1,0.355,6.5,43.5
2076,"ANKLESHWAR RESERVOIR AT GIDC
ANKLESHWAR AT VALIA ROAD.",LAKE,GUJARAT,28.5,7.5,7.95,407,1,0.4,14.5,45
1973,"BINDUSAROVAR, SIDDHPUR
(DIST.PATAN)",LAKE,GUJARAT,28,5.35,7.65,1310,5.75,0.8,66,198
1344,"CHANDOLA LAKE AT AHMEDABAD,",LAKE,GUJARAT,27.5,5.5,7.85,559,10.7,0.99,473,865
1977,CITY LAKE OF NADIAD,LAKE,GUJARAT,31,5.7,8.1,1256.5,2.35,0.48,210,410
3198,"GOMTI LAKE, OPP, RANCHODAJI
TEMPLE, DAKOR, KHEDA",LAKE,GUJARAT,29.5,5.1,7.95,490.5,2.25,0.96,81.5,240
3199,"HAMISAR TALAV, BHUJ",LAKE,GUJARAT,26.5,5.8,7.8,526.5,2.5,0.395,6,25
1343,"KANKORIA LAKE AT AHMEDABAD, NR.
BALVATIKA,",LAKE,GUJARAT,27.5,6.6,8.8,3285,14.5,0.975,476.5,940
2078,"KUWADAVA LAKE, VILL. KUWADAVA,
DIST. RAJKOT.",LAKE,GUJARAT,28,6.4,7.85,1786,2.05,0.535,86,275
1975,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,23.5,3.7,7.6,596.5,1.55,0.46,4.5,16.5
3197,"MACHHU-II DAM, RAFLESHWAR, MORBI, RAJKOT",LAKE,GUJARAT,26.5,6.6,7.95,655.5,2.2,0.295,11.5,25.5
3201,"MALAV TALAV, DHOLKA",LAKE,GUJARAT,28,6.7,8.7,3259.5,15,0.51,276,491.5
3200,MOONSAR LAKE OF VIRAMGAM,LAKE,GUJARAT,28,3.9,8.65,3988,34.5,0.63,507,940
2077,"MOTICHER LAKE NEAR KAKARPAR
ATOMIC POWER STATION, DIST. SURAT.",LAKE,GUJARAT,25,6.9,7.9,578,1.05,0.215,4,17.5
1972,"NALSAROVAR LAKE (SANAND),
DIST.AHMEDABAD",LAKE,GUJARAT,28,6.7,8.3,6385,12.9,0.54,286.5,520
1976,NARSIMEHTA TALAV- JUNAGADH,LAKE,GUJARAT,26,5,7.75,667,2.55,0.34,25.5,73.5
1346,"SURSAGAR LAKE AT BARODA,",LAKE,GUJARAT,29,6.1,8.05,968,2.85,0.385,198,355
3202,VHERAIMATA TALAV AT ANAND,LAKE,GUJARAT,27,4.5,7.9,604.5,2.95,0.605,240,390
2079,"DHUDHIA TALAV AT NAVSARI, DIST.
NAVSARI.",POND,GUJARAT,29.5,7.4,7.95,466.5,1.45,0.435,9.5,65
1979,"OLPAD, VILLAGE POND:OLPAD, SURAT",POND,GUJARAT,25,6.8,7.85,725.5,1.75,0.18,56,153.5
1971,THOL TANK (KALOL) (DIST. MEHASANA),TANK,GUJARAT,28.5,5.15,7.8,900,18.5,0.68,273,485
3033,SOHNA LAKE,LAKE,HARYANA,26.2,6.85,7.45,1110,6.5,2,22800,71000
1291,GOBINDSAGAR LAKE AT BILASPUR,LAKE,"HIMACHAL
PRADESH",18.5,9.05,7.6,283.5,1,1.23,317,940
2650,KHAZIAR LAKE,LAKE,"HIMACHAL
PRADESH",10.5,6.4,6.9,87.5,1.5,1.1,2,57.5
1292,"PONGDAM LAKE AT PONG VILLAGE,",LAKE,"HIMACHAL
PRADESH",19.5,7.6,7.65,167,1,0.75,2,44
1429,"RENUKA LAKE , 35 KM FROM PATNA
SAHIB NORTH",LAKE,"HIMACHAL
PRADESH",16,7.7,7.9,498.5,1.5,0.57,36,240
2649,RIWALSAR LAKE,LAKE,"HIMACHAL
PRADESH",19,7.55,7.6,402,3,1.075,515,1260
4506,ABBIGERE LAKE,LAKE,KARNATAKA,25,3.75,7.3,812.5,22.5,1.85,472300,2717500
3612,AGARAM LAKE,LAKE,KARNATAKA,25,4.45,7.1,796,13,3.6,76650,812000
3628,AMRUTHAHALLI LAKE,LAKE,KARNATAKA,25,5.4,7.1,706,5.5,1.45,551150,1762000
4096,"ANDHRAHALLI LAKE, ANDHRAHALLI, BENGALURU",LAKE,KARNATAKA,25,3.25,6.75,997.5,16.5,1.25,351700,2712000
3615,ARAKERE LAKE,LAKE,KARNATAKA,25,5.7,7.35,845.5,5.35,2.345,7745,82700
4542,BASAVANAPURA LAKE,LAKE,KARNATAKA,25,5.45,7.3,701.5,6.5,1.95,71650,282000
4515,BATTARAHALLI LAKE,LAKE,KARNATAKA,25,5,7.8,827.5,10.5,3.445,76650,812000
3602,BELLANDUR LAKE,LAKE,KARNATAKA,25,1.55,6.7,1111,52.5,3.05,600001150,4600012000
3679,BHUTANALA LAKE,LAKE,KARNATAKA,26.5,5.6,8.3,1118,19.5,3.16,1380,2400
3649,BUGUDANAHALLI LAKE,LAKE,KARNATAKA,25,6.3,6.85,226.5,4,5.95,8100,88000
4507,CHELEKERE LAKE,LAKE,KARNATAKA,25,5.5,6.95,811.5,7,1.45,471650,2712000
4095,"CHIKKABANVARA LAKE,
CHIKKABANWARA, BENGALURU NORTH",LAKE,KARNATAKA,25,4,7.1,1048,13,1.68,551650,4612000
4537,CHINNAKURCHI KERE,LAKE,KARNATAKA,25.05,6.1,7.15,364.5,6,1.25,23011.5,187000
4520,CHINNAPANHALLI LAKE,LAKE,KARNATAKA,25,3.45,7.5,954.5,21,2.55,41500,282000
3584,DALAVAI LAKE,LAKE,KARNATAKA,23.5,1.95,7.8,946.5,11,3.5,2700,9500
4521,DEVARABEESANAHALLI LAKE,LAKE,KARNATAKA,23,4.35,7.05,880.5,16.5,5.25,9000,92000
3645,DEVARAYASAMUDRA LAKE,LAKE,KARNATAKA,25,5,7.05,649.5,5.5,5.045,62000,812000
4539,DODDABIDARAKALLU LAKE,LAKE,KARNATAKA,25,2.7,6.85,1355.5,192,4.6,1150001650,1200012000
4094,"GANGONDANA HALLI LAKE, BENGALURU
NORTH",LAKE,KARNATAKA,25,3.15,6.75,1684.5,104,6.85,47002300,270017500
4518,GARUDACHARPALYA LAKE,LAKE,KARNATAKA,25,5.1,7.05,1047,9.5,2.5,48150,282000
3613,GOTTIGERE LAKE,LAKE,KARNATAKA,25,4.55,7.4,837,23,2.1,24150,187000
3654,GOTTIGERE LAKE,LAKE,KARNATAKA,25.5,4.45,6.6,1480,18.5,4.55,62000,472000
4535,GUBBALAL KERE,LAKE,KARNATAKA,25,5.6,7.1,309,7,0.6,8250,88000
